20160211141552 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2016-02-11T15:29:13Z        4645        2633         2012       0.45(0.46)      11(9)             0             1        22207         28772            1        1566        1316
2016-02-11T15:29:33Z        4647        2626         2021       0.45(0.46)      11(9)             0             1        25627         28772            1        1561        1313
2016-02-11T15:29:53Z        4647        2617         2030       0.45(0.46)      11(9)             0             0        26685         28772            1        1555        1308
2016-02-11T15:30:13Z        4647        2609         2038        0.4(0.46)      11(9)             0             0        19629         28772            1        1550        1304
2016-02-11T15:30:33Z        4647        2600         2047       0.45(0.46)      11(9)             0             0        20749         28772            1        1544        1300
2016-02-11T15:30:53Z        4647        2591         2056       0.45(0.46)      11(9)             0             1        21935         28772            1        1538        1295
2016-02-11T15:31:13Z        4647        2582         2065       0.45(0.46)      11(9)             0             1        23056         28772            1        1532        1291
2016-02-11T15:31:33Z        4647        2572         2075        0.5(0.46)      14(9)             0             0        24218         28772            1        1526        1286
2016-02-11T15:31:53Z        4647        2563         2084       0.45(0.46)      11(9)             0             0        25331         28772            1        1520        1281
2016-02-11T15:32:13Z        4647        2554         2093       0.45(0.46)      11(9)             0             0        26453         28772            1        1514        1277
2016-02-11T15:32:33Z        4647        2548         2099        0.3(0.46)      10(9)             0             0        19189         28772            1        1511        1274
2016-02-11T15:32:53Z        4647        2541         2106       0.35(0.46)      10(9)             0             0        20079         28772            1        1507        1270
2016-02-11T15:33:13Z        4647        2533         2114        0.4(0.46)      10(9)             0             0        21085         28772            1        1502        1266
2016-02-11T15:33:33Z        4648        2526         2122        0.4(0.46)      11(9)             0             0        23857         28772            1        1497        1263
2016-02-11T15:33:53Z        4653        2521         2132        0.5(0.46)       4(9)             0             2        19627         28772            1        1492        1260
2016-02-11T15:34:13Z        4659        2514         2145       0.65(0.46)       5(9)             0             0        24093         28772            1        1485        1257
2016-02-11T15:34:33Z        4664        2509         2155        0.5(0.46)       7(9)             0             0        19794         28772            1        1480        1254
2016-02-11T15:34:53Z        4669        2505         2164       0.45(0.46)       8(9)             0             0        23442         28772            1        1476        1252
2016-02-11T15:35:13Z        4674        2499         2175       0.55(0.46)       4(9)             0             0        19255         28772            1        1470        1249
2016-02-11T15:35:33Z        4677        2496         2181        0.3(0.46)       2(9)             0             0        21487         28772            1        1467        1248
2016-02-11T15:35:53Z        4681        2491         2190       0.45(0.46)       3(9)             0             0        24628         28772            1        1462        1245
2016-02-11T15:36:13Z        4685        2485         2200        0.5(0.46)       3(9)             0             0        19912         28772            1        1456        1242
2016-02-11T15:36:33Z        4687        2480         2207       0.35(0.46)       9(9)             0             0        21823         28772            1        1451        1240
2016-02-11T15:36:53Z        4691        2477         2214       0.35(0.46)       6(9)             0             1        24806         28772            1        1448        1238
2016-02-11T15:37:13Z        4694        2473         2221       0.35(0.46)       5(9)             0             2        19298         28772            1        1444        1236
2016-02-11T15:37:33Z        4700        2466         2234       0.65(0.46)       5(9)             0             1        23824         28772            1        1437        1233
2016-02-11T15:37:53Z        4705        2460         2245       0.55(0.46)       4(9)             0             1        19799         28772            1        1431        1230
